locus_tag	ftype	length_bp	gene	EC_number	COG	product
HBIEEPJE_00783	CDS	825	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
HBIEEPJE_00784	CDS	888	lacG_1			Lactose transport system permease protein LacG
HBIEEPJE_00785	CDS	873	ugpA_1		COG1175	sn-glycerol-3-phosphate transport system permease protein UgpA
HBIEEPJE_00786	CDS	1020	ahr	1.1.1.2	COG1064	Aldehyde reductase Ahr
HBIEEPJE_00787	CDS	1470	dauA_2		COG0659	C4-dicarboxylic acid transporter DauA
HBIEEPJE_00788	CDS	669	can_1	4.2.1.1	COG0288	Carbonic anhydrase 2
HBIEEPJE_00789	tRNA	85				tRNA-Leu(caa)
HBIEEPJE_00790	CDS	1266	intA_1		COG0582	Prophage integrase IntA
HBIEEPJE_00791	CDS	3513				hypothetical protein
HBIEEPJE_00792	CDS	1590	hsdM	2.1.1.72	COG0286	Type I restriction enzyme EcoKI M protein
HBIEEPJE_00793	CDS	276				hypothetical protein
HBIEEPJE_00794	CDS	312	hsdS		COG0732	Type-1 restriction enzyme EcoKI specificity protein
HBIEEPJE_00795	CDS	6321	rhlE_1	3.6.4.13		ATP-dependent RNA helicase RhlE
HBIEEPJE_00796	CDS	3288				hypothetical protein
HBIEEPJE_00797	CDS	1008				hypothetical protein
HBIEEPJE_00798	CDS	282				IS3 family transposase IS1400
HBIEEPJE_00799	CDS	510				IS3 family transposase IS1400
HBIEEPJE_00800	CDS	717				hypothetical protein
HBIEEPJE_00801	CDS	459				hypothetical protein
HBIEEPJE_00802	CDS	267				hypothetical protein
HBIEEPJE_00803	CDS	1149				hypothetical protein
HBIEEPJE_00804	CDS	264				hypothetical protein
HBIEEPJE_00805	CDS	1128				hypothetical protein
HBIEEPJE_00806	CDS	114				hypothetical protein
HBIEEPJE_00807	CDS	267				IS3 family transposase ISYpe1
HBIEEPJE_00808	CDS	387				IS3 family transposase ISYpe1
HBIEEPJE_00809	CDS	351				hypothetical protein
HBIEEPJE_00810	CDS	294	bin3			Putative transposon Tn552 DNA-invertase bin3
HBIEEPJE_00811	CDS	111				hypothetical protein
HBIEEPJE_00812	CDS	276	frmR_1		COG1937	Transcriptional repressor FrmR
HBIEEPJE_00813	CDS	1110	frmA_1	1.1.1.284	COG1062	S-(hydroxymethyl)glutathione dehydrogenase
HBIEEPJE_00814	CDS	399				hypothetical protein
HBIEEPJE_00815	CDS	837	frmB	3.1.2.12	COG0627	S-formylglutathione hydrolase FrmB
HBIEEPJE_00816	CDS	636				hypothetical protein
HBIEEPJE_00817	CDS	2988				Tn3 family transposase TnEc1
HBIEEPJE_00818	CDS	309	pinR	3.1.22.-	COG1961	Serine recombinase PinR
HBIEEPJE_00819	CDS	729				hypothetical protein
HBIEEPJE_00820	CDS	246				hypothetical protein
HBIEEPJE_00821	CDS	219				Tn3 family transposase Tn2
HBIEEPJE_00822	CDS	558	tnpR			Transposon Tn3 resolvase
HBIEEPJE_00823	CDS	861	bla_1	3.5.2.6		Beta-lactamase TEM
HBIEEPJE_00824	CDS	2508				Tn3 family transposase TnAs3
HBIEEPJE_00825	CDS	1152			COG2826	IS30 family transposase IS30
HBIEEPJE_00826	CDS	654				IS3 family transposase ISLad1
HBIEEPJE_00827	CDS	1287				hypothetical protein
HBIEEPJE_00828	CDS	2058				hypothetical protein
HBIEEPJE_00829	CDS	426				hypothetical protein
HBIEEPJE_00830	CDS	384				hypothetical protein
HBIEEPJE_00831	CDS	600				hypothetical protein
HBIEEPJE_00832	CDS	792				hypothetical protein
HBIEEPJE_00833	CDS	366				hypothetical protein
HBIEEPJE_00834	CDS	906				IS3 family transposase IS2
HBIEEPJE_00835	CDS	207				hypothetical protein
HBIEEPJE_00836	CDS	603				hypothetical protein
HBIEEPJE_00837	CDS	93				hypothetical protein
HBIEEPJE_00838	CDS	624				hypothetical protein
HBIEEPJE_00839	CDS	1119				hypothetical protein
HBIEEPJE_00840	CDS	735				hypothetical protein
HBIEEPJE_00841	CDS	873	era_1			GTPase Era
HBIEEPJE_00842	CDS	2847	flu_1		COG3468	Antigen 43
HBIEEPJE_00843	CDS	234				hypothetical protein
HBIEEPJE_00844	CDS	819				hypothetical protein
HBIEEPJE_00845	CDS	483	klcA_1			Antirestriction protein KlcA
HBIEEPJE_00846	CDS	477				hypothetical protein
HBIEEPJE_00847	CDS	222				hypothetical protein
HBIEEPJE_00848	CDS	369	cbeA			Cytoskeleton bundling-enhancing antitoxin CbeA
HBIEEPJE_00849	CDS	375	cbtA			Cytoskeleton-binding toxin CbtA
HBIEEPJE_00850	CDS	489				hypothetical protein
HBIEEPJE_00851	CDS	198				hypothetical protein
HBIEEPJE_00852	CDS	570				hypothetical protein
HBIEEPJE_00853	CDS	291				hypothetical protein
HBIEEPJE_00854	CDS	567				hypothetical protein
HBIEEPJE_00855	CDS	2490	pgaA			Poly-beta-1,6-N-acetyl-D-glucosamine export protein
HBIEEPJE_00856	CDS	2016	pgaB	3.5.1.-	COG0726	Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase
HBIEEPJE_00857	CDS	1329	pgaC	2.4.1.-	COG1215	Poly-beta-1,6-N-acetyl-D-glucosamine synthase
HBIEEPJE_00858	CDS	450				hypothetical protein
HBIEEPJE_00859	CDS	786				hypothetical protein
HBIEEPJE_00860	CDS	759				hypothetical protein
HBIEEPJE_00861	CDS	918	cbpA		COG2214	Curved DNA-binding protein
HBIEEPJE_00862	CDS	306	cbpM			Chaperone modulatory protein CbpM
HBIEEPJE_00863	CDS	372				hypothetical protein
HBIEEPJE_00864	CDS	957	parM			Plasmid segregation protein ParM
HBIEEPJE_00865	CDS	1404	melB		COG2211	Melibiose carrier protein
HBIEEPJE_00866	CDS	1353	melA	3.2.1.22	COG1486	Alpha-galactosidase
HBIEEPJE_00867	CDS	939	melR			Melibiose operon regulatory protein
HBIEEPJE_00868	CDS	1503	proP_1			Proline/betaine transporter
HBIEEPJE_00869	CDS	336				hypothetical protein
HBIEEPJE_00870	CDS	435				hypothetical protein
HBIEEPJE_00871	CDS	726	phnF		COG2188	putative transcriptional regulator PhnF
HBIEEPJE_00872	CDS	453	phnG	2.7.8.37	COG3624	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG
HBIEEPJE_00873	CDS	585	phnH	2.7.8.37	COG3625	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH
HBIEEPJE_00874	CDS	1065	phnI	2.7.8.37	COG3626	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI
HBIEEPJE_00875	CDS	849	phnJ	4.7.1.1	COG3627	Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase
HBIEEPJE_00876	CDS	759	phnK		COG4107	Putative phosphonates utilization ATP-binding protein PhnK
HBIEEPJE_00877	CDS	681	phnL	2.7.8.37	COG4778	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL
HBIEEPJE_00878	CDS	1137	phnM	3.6.1.63	COG3454	Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase
HBIEEPJE_00879	CDS	564	phnN	2.7.4.23	COG3709	Ribose 1,5-bisphosphate phosphokinase PhnN
HBIEEPJE_00880	CDS	759	phnP	3.1.4.55	COG1235	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase
HBIEEPJE_00881	CDS	369				hypothetical protein
HBIEEPJE_00882	CDS	2286	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
HBIEEPJE_00883	CDS	1521	rbsA_4	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
HBIEEPJE_00884	CDS	999	rbsC_4		COG1172	Ribose import permease protein RbsC
HBIEEPJE_00885	CDS	942	rbsB_2		COG1879	Ribose import binding protein RbsB
HBIEEPJE_00886	CDS	1008	rbsK_3	2.7.1.15	COG0524	Ribokinase
HBIEEPJE_00887	CDS	918				hypothetical protein
HBIEEPJE_00888	CDS	759				hypothetical protein
HBIEEPJE_00889	CDS	729	ompR_2			Transcriptional regulatory protein OmpR
HBIEEPJE_00890	CDS	420	fdhF_1	1.17.1.9	COG0243	Formate dehydrogenase H
HBIEEPJE_00891	CDS	1680	fdhF_2	1.17.1.9	COG0243	Formate dehydrogenase H
HBIEEPJE_00892	CDS	687				hypothetical protein
HBIEEPJE_00893	CDS	1314	gltP		COG1301	Proton/glutamate-aspartate symporter
HBIEEPJE_00894	CDS	1959	acs	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
HBIEEPJE_00895	CDS	312	yjcH		COG3162	Inner membrane protein YjcH
HBIEEPJE_00896	CDS	1656	actP		COG4147	Cation/acetate symporter ActP
HBIEEPJE_00897	CDS	1098				hypothetical protein
HBIEEPJE_00898	CDS	552				hypothetical protein
HBIEEPJE_00899	CDS	2580	fimD_3		COG3188	Outer membrane usher protein FimD
HBIEEPJE_00900	CDS	690	lpfB			putative fimbrial chaperone LpfB
HBIEEPJE_00901	CDS	540	ycbV		COG3539	putative fimbrial-like protein YcbV
HBIEEPJE_00902	CDS	690	yohK_1		COG1346	Inner membrane protein YohK
HBIEEPJE_00903	CDS	408	cidA			Holin-like protein CidA
HBIEEPJE_00904	CDS	882	oxyR_1			Hydrogen peroxide-inducible genes activator
HBIEEPJE_00905	CDS	1188	nhaK		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
HBIEEPJE_00906	CDS	273				hypothetical protein
HBIEEPJE_00907	CDS	1521	aplK	2.7.1.-	COG0554	Apulose kinase
HBIEEPJE_00908	CDS	951	sorC		COG2390	Sorbitol operon regulator
HBIEEPJE_00909	CDS	831	aptA_1	2.2.1.-	COG3959	Apulose-4-phosphate transketolase subunit A
HBIEEPJE_00910	CDS	936	aptB_1	2.2.1.-	COG3958	Apulose-4-phosphate transketolase subunit B
HBIEEPJE_00911	CDS	624	entD	2.7.8.-	COG2977	Enterobactin synthase component D
HBIEEPJE_00912	CDS	2229	fepA_1		COG4771	Ferrienterobactin receptor
HBIEEPJE_00913	CDS	1209	fes		COG2382	Enterochelin esterase
HBIEEPJE_00914	CDS	204	ybdZ		COG3251	Enterobactin biosynthesis protein YbdZ
HBIEEPJE_00915	CDS	786	resA_1			Thiol-disulfide oxidoreductase ResA
HBIEEPJE_00916	CDS	1185	glsA	3.5.1.2		Glutaminase
HBIEEPJE_00917	CDS	1389	sad_2	1.2.1.16	COG1012	Succinate semialdehyde dehydrogenase [NAD(P)+] Sad
HBIEEPJE_00918	CDS	879	gltR_1		COG0583	HTH-type transcriptional regulator GltR
HBIEEPJE_00919	CDS	483				hypothetical protein
HBIEEPJE_00920	CDS	945	ldh1	1.1.1.27		L-lactate dehydrogenase 1
HBIEEPJE_00921	CDS	762	glcR_1		COG1349	HTH-type transcriptional repressor GlcR
HBIEEPJE_00922	CDS	987	pdxA2_1	1.1.1.408	COG1995	D-threonate 4-phosphate dehydrogenase
HBIEEPJE_00923	CDS	1236	dtnK	2.7.1.219	COG3395	D-threonate kinase
HBIEEPJE_00924	CDS	1149	adh1	1.1.1.192	COG1454	Long-chain-alcohol dehydrogenase 1
HBIEEPJE_00925	CDS	885	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
HBIEEPJE_00926	CDS	951		1.1.1.81	COG0111	Hydroxypyruvate reductase
HBIEEPJE_00927	CDS	1320	garP_1			putative galactarate transporter
HBIEEPJE_00928	CDS	795	yddE	5.1.-.-	COG0384	putative isomerase YddE
HBIEEPJE_00929	CDS	1200	sotB_1		COG2814	Sugar efflux transporter
HBIEEPJE_00930	CDS	669				hypothetical protein
HBIEEPJE_00931	CDS	435	marR		COG1846	Multiple antibiotic resistance protein MarR
HBIEEPJE_00932	CDS	375	marA			Multiple antibiotic resistance protein MarA
HBIEEPJE_00933	CDS	219				hypothetical protein
HBIEEPJE_00934	CDS	900	eamA		COG0697	putative amino-acid metabolite efflux pump
HBIEEPJE_00935	CDS	1197				hypothetical protein
HBIEEPJE_00936	CDS	483				hypothetical protein
HBIEEPJE_00937	CDS	699	livF_2		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
HBIEEPJE_00938	CDS	798	livF_3		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
HBIEEPJE_00939	CDS	1074				hypothetical protein
HBIEEPJE_00940	CDS	1575				hypothetical protein
HBIEEPJE_00941	CDS	1272	amiC_2			Aliphatic amidase expression-regulating protein
HBIEEPJE_00942	CDS	1104				hypothetical protein
HBIEEPJE_00943	CDS	399				hypothetical protein
HBIEEPJE_00944	CDS	1098	rhaS_3			HTH-type transcriptional activator RhaS
HBIEEPJE_00945	CDS	219				hypothetical protein
HBIEEPJE_00946	CDS	441				hypothetical protein
HBIEEPJE_00947	CDS	447	lacI_1		COG1609	Lactose operon repressor
HBIEEPJE_00948	CDS	627	purR_2			HTH-type transcriptional repressor PurR
HBIEEPJE_00949	CDS	3108	lacZ_1	3.2.1.23	COG3250	Beta-galactosidase
HBIEEPJE_00950	CDS	1266	lacY			Lactose permease
HBIEEPJE_00951	CDS	1089				hypothetical protein
HBIEEPJE_00952	CDS	261				hypothetical protein
HBIEEPJE_00953	CDS	861	bla_2	3.5.2.6	COG2367	Beta-lactamase SHV-1
HBIEEPJE_00954	CDS	762	glpR_2		COG1349	Glycerol-3-phosphate regulon repressor
HBIEEPJE_00955	CDS	903	ltnD	1.1.1.411		L-threonate dehydrogenase
HBIEEPJE_00956	CDS	1266	otnK	2.7.1.217	COG3395	3-oxo-tetronate kinase
HBIEEPJE_00957	CDS	621	otnC	4.1.1.104	COG0235	3-oxo-tetronate 4-phosphate decarboxylase
HBIEEPJE_00958	CDS	783	otnI	5.3.1.35	COG3622	2-oxo-tetronate isomerase
HBIEEPJE_00959	CDS	810	iolB	5.3.1.30	COG3718	5-deoxy-glucuronate isomerase
HBIEEPJE_00960	CDS	1506	bauC	1.2.1.-	COG1012	Putative 3-oxopropanoate dehydrogenase
HBIEEPJE_00961	CDS	822	iolI	5.3.99.11	COG1082	Inosose isomerase
HBIEEPJE_00962	CDS	1503				hypothetical protein
HBIEEPJE_00963	CDS	1083	lptG		COG0795	Lipopolysaccharide export system permease protein LptG
HBIEEPJE_00964	CDS	1098	lptF		COG0795	Lipopolysaccharide export system permease protein LptF
HBIEEPJE_00965	CDS	1512	pepA	3.4.11.1	COG0260	Cytosol aminopeptidase
HBIEEPJE_00966	CDS	444	holC	2.7.7.7	COG2927	DNA polymerase III subunit chi
HBIEEPJE_00967	CDS	2856	valS	6.1.1.9	COG0525	Valine--tRNA ligase
HBIEEPJE_00968	CDS	504				hypothetical protein
HBIEEPJE_00969	CDS	765				hypothetical protein
HBIEEPJE_00970	CDS	423	rraB		COG3076	Regulator of ribonuclease activity B
HBIEEPJE_00971	CDS	1005	argI	2.1.3.3	COG0078	Ornithine carbamoyltransferase subunit I
HBIEEPJE_00972	CDS	453	tabA		COG2731	Toxin-antitoxin biofilm protein TabA
HBIEEPJE_00973	CDS	936	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase catalytic subunit
HBIEEPJE_00974	CDS	462	pyrI		COG1781	Aspartate carbamoyltransferase regulatory chain
HBIEEPJE_00975	CDS	387	ridA_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
HBIEEPJE_00976	CDS	2709	mgtA	7.2.2.14	COG0474	Magnesium-transporting ATPase, P-type 1
HBIEEPJE_00977	CDS	948	treR		COG1609	HTH-type transcriptional regulator TreR
HBIEEPJE_00978	CDS	1419	treB		COG1263	PTS system trehalose-specific EIIBC component
HBIEEPJE_00979	CDS	1656	treC	3.2.1.93	COG0366	Trehalose-6-phosphate hydrolase
HBIEEPJE_00980	CDS	1353	licC_1		COG1455	Lichenan permease IIC component
HBIEEPJE_00981	CDS	1308	licH_1	3.2.1.86	COG1486	putative 6-phospho-beta-glucosidase
HBIEEPJE_00982	CDS	309	celA_1	2.7.1.205		PTS system cellobiose-specific EIIB component
HBIEEPJE_00983	CDS	744	hexR_1		COG1737	HTH-type transcriptional regulator HexR
HBIEEPJE_00984	CDS	2139	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
HBIEEPJE_00985	CDS	465	nrdG	1.97.1.-	COG0602	Anaerobic ribonucleoside-triphosphate reductase-activating protein
HBIEEPJE_00986	CDS	285	relE	3.1.-.-	COG2026	mRNA interferase toxin RelE
HBIEEPJE_00987	CDS	243	relB		COG3077	Antitoxin RelB
HBIEEPJE_00988	CDS	1911	licR		COG1762	putative licABCH operon regulator
HBIEEPJE_00989	CDS	1155	pgl_1	3.1.1.31	COG2706	6-phosphogluconolactonase
HBIEEPJE_00990	CDS	741	dgaF	4.1.2.14		2-dehydro-3-deoxy-phosphogluconate aldolase
HBIEEPJE_00991	CDS	1119	dgaE	4.3.1.29		D-glucosaminate-6-phosphate ammonia lyase
HBIEEPJE_00992	CDS	1134		3.1.1.-	COG3964	Deacetylase
HBIEEPJE_00993	CDS	645				hypothetical protein
HBIEEPJE_00994	CDS	777				hypothetical protein
HBIEEPJE_00995	CDS	300				hypothetical protein
HBIEEPJE_00996	CDS	363				hypothetical protein
HBIEEPJE_00997	CDS	339				hypothetical protein
HBIEEPJE_00998	CDS	387	cybC		COG3783	Soluble cytochrome b562
HBIEEPJE_00999	CDS	1341	pmbA	3.4.-.-	COG0312	Metalloprotease PmbA
HBIEEPJE_01000	CDS	552				hypothetical protein
HBIEEPJE_01001	CDS	1209				hypothetical protein
HBIEEPJE_01002	CDS	528				hypothetical protein
HBIEEPJE_01003	CDS	1374	mpl	6.3.2.45	COG0773	UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase
HBIEEPJE_01004	CDS	999	fbp	3.1.3.11	COG0158	Fructose-1,6-bisphosphatase class 1
HBIEEPJE_01005	CDS	975	yjfF			Inner membrane ABC transporter permease protein YjfF
HBIEEPJE_01006	CDS	1026	ytfT			Inner membrane ABC transporter permease protein YtfT
HBIEEPJE_01007	CDS	1503	fruK	7.5.2.-	COG1129	Fructose import ATP-binding protein FruK
HBIEEPJE_01008	CDS	957	ytfQ_1			ABC transporter periplasmic-binding protein YtfQ
HBIEEPJE_01009	CDS	531	ppa_1	3.6.1.1	COG0221	Inorganic pyrophosphatase
HBIEEPJE_01010	CDS	201				hypothetical protein
HBIEEPJE_01011	CDS	345	ytfP		COG2105	Gamma-glutamylcyclotransferase family protein ytfP
HBIEEPJE_01012	CDS	3777	tamB		COG2911	Translocation and assembly module subunit TamB
HBIEEPJE_01013	CDS	1734	tamA		COG0729	Translocation and assembly module subunit TamA
HBIEEPJE_01014	CDS	639	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
HBIEEPJE_01015	CDS	1338				hypothetical protein
HBIEEPJE_01016	CDS	1233	rafB_1			Raffinose permease
HBIEEPJE_01017	CDS	2010	bgaA	3.2.1.23	COG1874	Beta-galactosidase BgaA
HBIEEPJE_01018	CDS	873	araC_1			Arabinose operon regulatory protein
HBIEEPJE_01019	CDS	207				hypothetical protein
HBIEEPJE_01020	CDS	558	ytfJ		COG3054	putative protein YtfJ
HBIEEPJE_01021	CDS	744	cysQ	3.1.3.7	COG1218	3'(2'),5'-bisphosphate nucleotidase CysQ
HBIEEPJE_01022	CDS	1944	cpdB	3.1.3.6	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase
HBIEEPJE_01023	CDS	372				hypothetical protein
HBIEEPJE_01024	CDS	849	qorB	1.6.5.2	COG0702	Quinone oxidoreductase 2
HBIEEPJE_01025	CDS	825	rhaS_4			HTH-type transcriptional activator RhaS
HBIEEPJE_01026	CDS	972	ytfF			Inner membrane protein YtfF
HBIEEPJE_01027	CDS	663	ytfE		COG2846	Iron-sulfur cluster repair protein YtfE
HBIEEPJE_01028	CDS	1404	cycA_1		COG1113	D-serine/D-alanine/glycine transporter
HBIEEPJE_01029	CDS	621	fklB	5.2.1.8	COG0545	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase
HBIEEPJE_01030	CDS	675				hypothetical protein
HBIEEPJE_01031	CDS	450	rplI		COG0359	50S ribosomal protein L9
HBIEEPJE_01032	CDS	228	rpsR		COG0238	30S ribosomal protein S18
HBIEEPJE_01033	CDS	315	priB		COG2965	Primosomal replication protein N
HBIEEPJE_01034	CDS	396	rpsF		COG0360	30S ribosomal protein S6
HBIEEPJE_01035	CDS	276				hypothetical protein
HBIEEPJE_01036	CDS	1194	yfcJ_1			putative MFS-type transporter YfcJ
HBIEEPJE_01037	CDS	687	ulaF	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase UlaF
HBIEEPJE_01038	CDS	855	ulaE	5.1.3.22	COG3623	L-ribulose-5-phosphate 3-epimerase UlaE
HBIEEPJE_01039	CDS	651	ulaD	4.1.1.85	COG0269	3-keto-L-gulonate-6-phosphate decarboxylase UlaD
HBIEEPJE_01040	CDS	468	ulaC_1		COG1762	Ascorbate-specific PTS system EIIA component
HBIEEPJE_01041	CDS	306	ulaB_1	2.7.1.194	COG3414	Ascorbate-specific PTS system EIIB component
HBIEEPJE_01042	CDS	1401	ulaA_2		COG3037	Ascorbate-specific PTS system EIIC component
HBIEEPJE_01043	CDS	1065	ulaG	3.1.1.-	COG2220	putative L-ascorbate-6-phosphate lactonase UlaG
HBIEEPJE_01044	CDS	756	ulaR		COG1349	HTH-type transcriptional regulator UlaR
HBIEEPJE_01045	CDS	717				hypothetical protein
HBIEEPJE_01046	CDS	309	bsmA			Lipoprotein BsmA
HBIEEPJE_01047	CDS	276				hypothetical protein
HBIEEPJE_01048	CDS	1638	aidB	1.3.99.-	COG1960	Putative acyl-CoA dehydrogenase AidB
HBIEEPJE_01049	CDS	732	rlmB	2.1.1.185	COG0566	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
HBIEEPJE_01050	CDS	2433	rnr	3.1.13.1	COG0557	Ribonuclease R
HBIEEPJE_01051	CDS	426	nsrR		COG1959	HTH-type transcriptional repressor NsrR
HBIEEPJE_01052	CDS	1299	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
HBIEEPJE_01053	CDS	255				hypothetical protein
HBIEEPJE_01054	CDS	294				hypothetical protein
HBIEEPJE_01055	CDS	1005	hflC		COG0330	Modulator of FtsH protease HflC
HBIEEPJE_01056	CDS	1263	hflK		COG0330	Modulator of FtsH protease HflK
HBIEEPJE_01057	CDS	1281	hflX		COG2262	GTPase HflX
HBIEEPJE_01058	CDS	309	hfq		COG1923	RNA-binding protein Hfq
HBIEEPJE_01059	CDS	951	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
HBIEEPJE_01060	CDS	537	mutL_1		COG0323	DNA mismatch repair protein MutL
HBIEEPJE_01061	CDS	1323	mutL_2		COG0323	DNA mismatch repair protein MutL
HBIEEPJE_01062	CDS	1353	amiB	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiB
HBIEEPJE_01063	CDS	462	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
HBIEEPJE_01064	CDS	1512	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
HBIEEPJE_01065	CDS	1140	queG	1.17.99.6		Epoxyqueuosine reductase
HBIEEPJE_01066	tRNA	76				tRNA-Gly(gcc)
HBIEEPJE_01067	tRNA	76				tRNA-Gly(gcc)
HBIEEPJE_01068	tRNA	76				tRNA-Gly(gcc)
HBIEEPJE_01069	CDS	732	artJ_1		COG0834	ABC transporter arginine-binding protein 1
HBIEEPJE_01070	CDS	546	orn	3.1.-.-	COG1949	Oligoribonuclease
HBIEEPJE_01071	CDS	1062	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
HBIEEPJE_01072	CDS	963	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
HBIEEPJE_01073	CDS	3330	mscM		COG3264	Miniconductance mechanosensitive channel MscM
HBIEEPJE_01074	CDS	1503	yjeM			Inner membrane transporter YjeM
HBIEEPJE_01075	CDS	978	epmA	6.3.1.-	COG2269	Elongation factor P--(R)-beta-lysine ligase
HBIEEPJE_01076	CDS	1791	frdA	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
HBIEEPJE_01077	CDS	735	frdB	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
HBIEEPJE_01078	CDS	396	frdC		COG3029	Fumarate reductase subunit C
HBIEEPJE_01079	CDS	360	frdD		COG3080	Fumarate reductase subunit D
HBIEEPJE_01080	CDS	534	blc_1		COG3040	Outer membrane lipoprotein Blc
HBIEEPJE_01081	CDS	318	gdx		COG2076	Guanidinium exporter
HBIEEPJE_01082	CDS	192				hypothetical protein
HBIEEPJE_01083	CDS	132				hypothetical protein
HBIEEPJE_01084	CDS	567	efp		COG0231	Elongation factor P
HBIEEPJE_01085	CDS	1029	epmB	5.4.3.-	COG1509	L-lysine 2,3-aminomutase
HBIEEPJE_01086	CDS	675				hypothetical protein
HBIEEPJE_01087	CDS	564				hypothetical protein
HBIEEPJE_01088	CDS	687	fimC_2			Chaperone protein FimC
HBIEEPJE_01089	CDS	2535	fimD_4		COG3188	Outer membrane usher protein FimD
HBIEEPJE_01090	CDS	1008				hypothetical protein
HBIEEPJE_01091	CDS	366				hypothetical protein
HBIEEPJE_01092	CDS	1287	cvaA		COG0845	Colicin V secretion protein CvaA
HBIEEPJE_01093	CDS	2124	hlyB		COG2274	Alpha-hemolysin translocation ATP-binding protein HlyB
HBIEEPJE_01094	CDS	864				hypothetical protein
HBIEEPJE_01095	CDS	354				hypothetical protein
HBIEEPJE_01096	CDS	1647	groL			60 kDa chaperonin
HBIEEPJE_01097	CDS	294	groS		COG0234	10 kDa chaperonin
HBIEEPJE_01098	CDS	1251	yjeH		COG0531	L-methionine/branched-chain amino acid exporter YjeH
HBIEEPJE_01099	CDS	477				hypothetical protein
HBIEEPJE_01100	CDS	1437	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
HBIEEPJE_01101	CDS	1302	dcuA		COG2704	Anaerobic C4-dicarboxylate transporter DcuA
HBIEEPJE_01102	CDS	324	cutA		COG1324	Divalent-cation tolerance protein CutA
HBIEEPJE_01103	CDS	1797	dsbD_1	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
HBIEEPJE_01104	CDS	591				hypothetical protein
HBIEEPJE_01105	CDS	2088				hypothetical protein
HBIEEPJE_01106	tRNA	76				tRNA-Phe(gaa)
HBIEEPJE_01107	CDS	1263	intS_1		COG0582	Prophage integrase IntS
HBIEEPJE_01108	CDS	264				hypothetical protein
HBIEEPJE_01109	CDS	519				hypothetical protein
HBIEEPJE_01110	CDS	183				hypothetical protein
HBIEEPJE_01111	CDS	2850	rapA_1	3.6.4.-		RNA polymerase-associated protein RapA
HBIEEPJE_01112	CDS	981	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
HBIEEPJE_01113	CDS	2313				hypothetical protein
HBIEEPJE_01114	CDS	1629				hypothetical protein
HBIEEPJE_01115	CDS	2871				hypothetical protein
HBIEEPJE_01116	CDS	1152			COG2826	IS30 family transposase IS30
HBIEEPJE_01117	CDS	639				hypothetical protein
HBIEEPJE_01118	CDS	597				hypothetical protein
HBIEEPJE_01119	CDS	579	rsxB	7.-.-.-	COG2878	Ion-translocating oxidoreductase complex subunit B
HBIEEPJE_01120	CDS	582	rsxA	7.-.-.-	COG4657	Ion-translocating oxidoreductase complex subunit A
HBIEEPJE_01121	CDS	441	ydgK			Inner membrane protein YdgK
HBIEEPJE_01122	CDS	216	ydgT			Transcription modulator YdgT
